"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\bloc_utils\comon_states.dart", "Dart", 4, 0, 6, 10
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\create_wallet_screen_bloc\create_wallet_screen_bloc.dart", "Dart", 37, 2, 9, 48
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\create_wallet_screen_bloc\create_wallet_screen_event.dart", "Dart", 3, 0, 3, 6
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\create_wallet_screen_bloc\create_wallet_screen_state.dart", "Dart", 7, 0, 5, 12
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\home_screen_bloc\home_screen_bloc.dart", "Dart", 68, 0, 15, 83
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\home_screen_bloc\home_screen_event.dart", "Dart", 5, 0, 4, 9
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\home_screen_bloc\home_screen_state.dart", "Dart", 17, 0, 6, 23
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_event.dart", "Dart", 3, 0, 2, 5
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_screen_bloc.dart", "Dart", 16, 1, 4, 21
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_state.dart", "Dart", 2, 0, 2, 4
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\send_money_screen_bloc\send_money_event.dart", "Dart", 35, 0, 11, 46
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\send_money_screen_bloc\send_money_screen_bloc.dart", "Dart", 80, 0, 12, 92
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\send_money_screen_bloc\send_money_state.dart", "Dart", 15, 0, 11, 26
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\splash_screen_bloc\splash_screen_bloc.dart", "Dart", 31, 1, 8, 40
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\splash_screen_bloc\splash_screen_event.dart", "Dart", 3, 0, 3, 6
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\splash_screen_bloc\splash_screen_state.dart", "Dart", 7, 0, 5, 12
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\start_wallet_screen_bloc\start_screen_bloc.dart", "Dart", 23, 0, 5, 28
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\start_wallet_screen_bloc\start_screen_event.dart", "Dart", 3, 0, 3, 6
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\start_wallet_screen_bloc\start_screen_state.dart", "Dart", 2, 0, 2, 4
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\transaction_preview_bloc\transaction_preview_event.dart", "Dart", 5, 0, 5, 10
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\transaction_preview_bloc\transaction_preview_screen_bloc.dart", "Dart", 58, 0, 11, 69
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\transaction_preview_bloc\transaction_preview_state.dart", "Dart", 7, 0, 6, 13
"c:\Users\Erik\Proyectos\algo_x\lib\dtos\account_information_dto.dart", "Dart", 11, 0, 3, 14
"c:\Users\Erik\Proyectos\algo_x\lib\dtos\transaction_dto.dart", "Dart", 26, 0, 3, 29
"c:\Users\Erik\Proyectos\algo_x\lib\dtos\transtactions_dto.dart", "Dart", 13, 0, 5, 18
"c:\Users\Erik\Proyectos\algo_x\lib\locators\app_colors.dart", "Dart", 11, 0, 3, 14
