"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_event.dart", "Dart", 4, 0, 2, 6
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_screen_bloc.dart", "Dart", 51, -1, 3, 53
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\recover_account_scren_bloc\recover_account_state.dart", "Dart", 20, 0, 7, 27
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\send_money_screen_bloc\send_money_screen_bloc.dart", "Dart", 3, 0, 2, 5
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\start_wallet_screen_bloc\start_screen_bloc.dart", "Dart", 0, 0, -1, -1
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\transaction_preview_bloc\transaction_preview_screen_bloc.dart", "Dart", 3, 0, 0, 3
"c:\Users\Erik\Proyectos\algo_x\lib\bloc\transaction_preview_bloc\transaction_preview_state.dart", "Dart", 3, 0, 1, 4
"c:\Users\Erik\Proyectos\algo_x\lib\locators\app_strings.dart", "Dart", 0, -11, -8, -19
"c:\Users\Erik\Proyectos\algo_x\lib\repositories\purestake_repository.dart", "Dart", 3, 0, 1, 4
"c:\Users\Erik\Proyectos\algo_x\lib\services\purestake_service.dart", "Dart", 4, 0, 1, 5
"c:\Users\Erik\Proyectos\algo_x\lib\ui\create_wallet_screen.dart", "Dart", 60, 4, 1, 65
"c:\Users\Erik\Proyectos\algo_x\lib\ui\recover_account_screen.dart", "Dart", 85, 0, 0, 85
"c:\Users\Erik\Proyectos\algo_x\lib\ui\start_screen.dart", "Dart", 1, 0, 0, 1
"c:\Users\Erik\Proyectos\algo_x\lib\ui\transaction_preview_screen.dart", "Dart", 108, 0, 0, 108
"Total", "-", 345, -8, 9, 346
